companyLabel,countryLabel,shipsBuilt
Q1699354,Великобритания,4
Q4648105,Великобритания,4
Q3394955,Испания,4
Q744233,Бельгия,4
Hellenic Shipyards,Греция,4
Q6140548,,4
Q5270598,США,4
Q15273435,Великобритания,4
Q16889827,,4
Q3655770,Италия,4
Q6889166,Индия,4
Q113516515,Испания,4
Иранские военно-морские верфи,Иран,4
Q76189317,Франция,4
Q1252846,Испания,4
Q65048320,США,4
Q19582082,,4
Николаев,Украина,4
Q6367782,Пакистан,4
Q113652740,Германия,4
Q5617478,Объединённые Арабские Эмираты,4
Калькутта,Индия,4
Бристоль,Великобритания,4
Q124420670,Республика Корея,4
Воронежское адмиралтейство,,4
Q6117813,США,4
Q122517306,Нидерланды,4
Q113575643,США,4
Q52158840,США,4
Q3655739,,4
Q23074227,США,4
Q134312411,США,4
Q16994055,Великобритания,4
Q7491068,Швеция,4
Q6348465,США,4
Q110947883,Нидерланды,4
Q1778280,Норвегия,4
Q122574939,Китай,4
Q87412644,Португалия,4
Q137647902,Великобритания,4
Рига,Латвия,4
Главное адмиралтейство в Санкт-Петербурге,Россия,4
Q2235336,Германия,4
Q57305668,Фарерские острова,4
Oto Melara,Италия,4
Воткинский завод,Россия,4
Q1973764,Германия,4
Q25067052,Нидерланды,4
Q109412511,Китай,4
Babcock International,Великобритания,4
Q135318427,Швеция,4
Q2148016,Германия,4
Астраханская судоверфь,Россия,4
Q115051301,Нидерланды,4
Карлин,Чехия,4
Q56121139,Португалия,4
Q1263383,Германия,4
Q2283968,Германия,4
Q16218256,Польша,4
Q17107791,Канада,4
Q59240911,,4
Q116766227,Норвегия,4
Q7621806,Мексика,4
Q15844308,Германия,4
Q48913642,,4
Q84362563,Китай,4
Q21505614,Великобритания,4
Q22100733,Китайская Республика (Тайвань),4
Larsen & Toubro,Индия,4
Q10275470,Бразилия,4
Q1000042,Германия,3
Q16993938,Великобритания,3
Абовская верфь,Швеция,3
Абовская верфь,Российская империя,3
Todd Pacific Shipyards,США,3
Хельсингёр,Дания,3
Ла-Сейн-сюр-Мер,Франция,3
Messageries Maritimes,Франция,3
Sulzer,Швейцария,3
Q30926102,Япония,3
Q127869050,Нидерланды,3
Q16644259,Франция,3
Q8016655,Великобритания,3
Q113555582,Нидерланды,3
Сондерс-Ро,Великобритания,3
Hitachi,Япония,3
Q6246213,,3
Q131628529,Филиппины,3
Q763331,Германия,3
Q12676301,Литва,3
Джеймс Хэкетт,,3
Q2567444,Германия,3
China State Shipbuilding Corporation,Китай,3
Q61466812,,3
ZPMC,Китай,3
Коломенский завод,Россия,3
Q85230816,Португалия,3
Q7942030,Великобритания,3
Филадельфия,США,3
Нант,Франция,3
Q18688137,Нидерланды,3
Q105019750,Финляндия,3
ST Engineering,Сингапур,3
Q7390381,Перу,3
Q54166003,Норвегия,3
Q66,США,3
Q7176371,,3
Q6914000,Австралия,3
Британская Ост-Индская компания,Соединённое королевство Великобритании и Ирландии,3
Q10303899,Бразилия,3
Санкт-Петербург,Россия,3
BAE Systems Australia,Австралия,3
Q6491503,,3
Q112623574,Португалия,3
Q2235355,Германия,3
Q7150076,,3
Q124485935,Финляндия,3
Q131565008,Китай,3
Daewoo,Республика Корея,3
Q87200290,,3
Q4834525,Великобритания,3
Q6741882,Малайзия,3
Q4751314,Бангладеш,3
Q5649928,,3
Q134077070,,3
Q197494,Великобритания,3
Q5083351,США,3
"Дин, Энтони (старший)",,3
China Shipping Group,Китай,3
Q43025422,Франция,3
Q15198738,США,3
Q129427764,Нидерланды,3
BAE Systems,Великобритания,3
Q25382955,Великобритания,3
William R. Trigg Company,США,3
Q16999013,США,3
Q135243112,,3
Q57404752,Сингапур,3
Q1307846,Соединённое королевство Великобритании и Ирландии,3
Q5184424,США,3
Q126002066,США,3
San Francisco Naval Shipyard,США,3
Schneider et Cie,Франция,3
Q65071133,,3
Q5757002,,3
Q9345905,Польша,3
Q116922394,Турция,3
Континентальная армия,США,3
Континентальная армия,Тринадцать колоний,3
Q54165976,Норвегия,3
Q3700534,Чехия,3
Q115129334,Турция,3
Q3230256,Франция,3
Q52682784,Норвегия,3
Ла-Сьота,Франция,3
Q100605830,Норвегия,3
Нидерланды,Королевство Нидерландов,3
Q19385839,Норвегия,3
Q7928998,США,3
Q54175541,Норвегия,3
Q12312210,,3
Невский судостроительно-судоремонтный завод,Россия,3
Q4834533,Великобритания,3
Q67012767,,3
Q96115461,,3
Халич (верфь),Турция,3
Q10670563,Швеция,3
Q19889154,,3
Q65059654,Китай,3
Q86838057,Нидерланды,3
Q105872374,Германия,3
Q478752,Нидерланды,3
Q20474542,Турция,3
Q22019485,,3
Q95477088,Франция,3
Q11956623,Норвегия,3
Q9630884,Португалия,3
Q5155378,Португалия,3
Q30634547,,3
Q109680518,Новая Зеландия,3
Q62063411,Китай,3
Q47108264,Норвегия,3
Q106103966,Вьетнам,3
Икорецкая верфь,,3
Q12744192,,3
Q52317584,Норвегия,3
Q25028459,,3
Q1260447,Германия,3
Павловская верфь,,3
Q19904469,,3
Q19958736,Швеция,3
Q25100782,Италия,3
Q124570430,Хорватия,3
Q136647792,Канада,3
Q90154854,Великобритания,3
Q86718418,Норвегия,3
Thales,Франция,3
Q34417933,Германия,3
Q34417933,Германский рейх,3
Q131138062,Португалия,3
Q65072048,Финляндия,3
