company,companyLabel,countryLabel,shipsBuilt,sizeClass,shipsInClass
http://www.wikidata.org/entity/Q763386,Brest Arsenal,Франция,44,2_прибрежное (25-100м),4
http://www.wikidata.org/entity/Q765925,Chantiers de l'Atlantique,Франция,168,3_mini-handy (100-130м),7
http://www.wikidata.org/entity/Q780696,Austal,Австралия,90,2_прибрежное (25-100м),72
http://www.wikidata.org/entity/Q827085,Nobiskrug,Германия,84,2_прибрежное (25-100м),34
http://www.wikidata.org/entity/Q845144,Trondhjems mekaniske Værksted,Норвегия,48,2_прибрежное (25-100м),18
http://www.wikidata.org/entity/Q846694,William Cramp and Sons,США,149,2_прибрежное (25-100м),4
http://www.wikidata.org/entity/Q1229954,Norderwerft Hamburg,Германия,11,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q1229954,Norderwerft Hamburg,Германский рейх,11,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q1362430,Lübecker Maschinenbau Gesellschaft,Германия,8,3_mini-handy (100-130м),4
http://www.wikidata.org/entity/Q1552142,Reiherstieg Schiffswerfte & Maschinenfabrik,Германия,37,3_mini-handy (100-130м),3
http://www.wikidata.org/entity/Q1795881,Kölner Werft,Германия,7,2_прибрежное (25-100м),6
http://www.wikidata.org/entity/Q2258010,Boelwerf,Бельгия,21,4_handysize (130-180м),5
http://www.wikidata.org/entity/Q2868909,Ateliers et Chantiers de France,Франция,20,4_handysize (130-180м),9
http://www.wikidata.org/entity/Q3077298,Société Nouvelle des Forges et Chantiers de la Méditerranée,Франция,91,2_прибрежное (25-100м),14
http://www.wikidata.org/entity/Q3077298,Société Nouvelle des Forges et Chantiers de la Méditerranée,Франция,91,3_mini-handy (100-130м),4
http://www.wikidata.org/entity/Q3655760,Cantiere navale fratelli Orlando,Италия,32,4_handysize (130-180м),3
http://www.wikidata.org/entity/Q7106621,Oshima Shipbuilding,Япония,754,6_panamax (200-295м),257
http://www.wikidata.org/entity/Q10727553,Öresund shipyard,Швеция,63,6_panamax (200-295м),4
http://www.wikidata.org/entity/Q11382415,Sasaki Shipbuilding,Япония,23,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q12501564,PT PAL,Индонезия,5,2_прибрежное (25-100м),1
http://www.wikidata.org/entity/Q13188857,Schiffswerft Diedrich,Германия,19,2_прибрежное (25-100м),16
http://www.wikidata.org/entity/Q13188857,Schiffswerft Diedrich,Германия,19,1_малое (<25м),2
http://www.wikidata.org/entity/Q14329180,Lux-Werft und Schifffahrt,Германия,48,2_прибрежное (25-100м),40
http://www.wikidata.org/entity/Q14685545,John Roach & Sons,США,20,2_прибрежное (25-100м),2
http://www.wikidata.org/entity/Q16565979,Factorías Vulcano,Испания,25,3_mini-handy (100-130м),13
http://www.wikidata.org/entity/Q17773943,Fredrikstad Mekaniske Verksted,Норвегия,47,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q21036308,SET Schiffbau- u. Entwicklungsgesellschaft Tangermünde,Германия,12,2_прибрежное (25-100м),10
http://www.wikidata.org/entity/Q85718221,Mitsui Tamano Shipyard,Япония,218,4_handysize (130-180м),22
http://www.wikidata.org/entity/Q292745,AG Vulcan Stettin,Веймарская республика,195,2_прибрежное (25-100м),28
http://www.wikidata.org/entity/Q292745,AG Vulcan Stettin,Германская империя,195,2_прибрежное (25-100м),28
http://www.wikidata.org/entity/Q292748,AG Weser,Германия,116,2_прибрежное (25-100м),15
http://www.wikidata.org/entity/Q292748,AG Weser,Германский рейх,116,2_прибрежное (25-100м),15
http://www.wikidata.org/entity/Q309084,Alstom,Франция,5,6_panamax (200-295м),4
http://www.wikidata.org/entity/Q527466,Bremer Vulkan,Германия,190,2_прибрежное (25-100м),5
http://www.wikidata.org/entity/Q527466,Bremer Vulkan,Германский рейх,190,2_прибрежное (25-100м),5
http://www.wikidata.org/entity/Q531348,Kaiserliche Werft Danzig,Германия,30,2_прибрежное (25-100м),23
http://www.wikidata.org/entity/Q621541,Appledore Shipbuilders,Великобритания,48,2_прибрежное (25-100м),38
http://www.wikidata.org/entity/Q689159,Армстронг Уитуорт,Великобритания,143,3_mini-handy (100-130м),13
http://www.wikidata.org/entity/Q703194,Germaniawerft,Германский рейх,118,2_прибрежное (25-100м),27
http://www.wikidata.org/entity/Q765925,Chantiers de l'Atlantique,Франция,168,6_panamax (200-295м),60
http://www.wikidata.org/entity/Q913741,Incat,Австралия,64,2_прибрежное (25-100м),50
http://www.wikidata.org/entity/Q946123,Rotterdamsche Droogdok Maatschappij,Нидерланды,28,6_panamax (200-295м),4
http://www.wikidata.org/entity/Q1016699,Бурмейстер и Вайн,Дания,124,2_прибрежное (25-100м),12
http://www.wikidata.org/entity/Q1021814,Büsumer Werft,Германия,8,2_прибрежное (25-100м),7
http://www.wikidata.org/entity/Q1025914,Caird & Company,Великобритания,53,4_handysize (130-180м),13
http://www.wikidata.org/entity/Q1029631,Cammell Laird,Великобритания,257,2_прибрежное (25-100м),25
http://www.wikidata.org/entity/Q1063973,Charles Connell and Company,Великобритания,43,2_прибрежное (25-100м),2
http://www.wikidata.org/entity/Q1065535,Charles Mitchell and Company,Великобритания,6,3_mini-handy (100-130м),1
http://www.wikidata.org/entity/Q1193195,Ingalls Shipbuilding,США,216,4_handysize (130-180м),15
http://www.wikidata.org/entity/Q1267285,Husumer Schiffswerft,Германия,63,2_прибрежное (25-100м),56
http://www.wikidata.org/entity/Q1323171,Fore River Shipyard,США,99,4_handysize (130-180м),2
http://www.wikidata.org/entity/Q1604557,Elsinore Shipyard and Machine Construction,Дания,59,3_mini-handy (100-130м),25
http://www.wikidata.org/entity/Q1631703,Howaldtswerke Hamburg,Германия,61,4_handysize (130-180м),35
http://www.wikidata.org/entity/Q1631703,Howaldtswerke Hamburg,Германский рейх,61,4_handysize (130-180м),35
http://www.wikidata.org/entity/Q1653679,IHI Corporation,Япония,87,4_handysize (130-180м),7
http://www.wikidata.org/entity/Q1691902,Joh. C. Tecklenborg,Германия,36,4_handysize (130-180м),5
http://www.wikidata.org/entity/Q1736541,Гданьская судоверфь,Польша,172,2_прибрежное (25-100м),24
http://www.wikidata.org/entity/Q1808912,Sumitomo Heavy Industries,Япония,165,6_panamax (200-295м),131
http://www.wikidata.org/entity/Q1973983,Nederlandse Scheepsbouw Maatschappij,Нидерланды,79,4_handysize (130-180м),33
http://www.wikidata.org/entity/Q2061530,Swan Hunter,Великобритания,311,3_mini-handy (100-130м),20
http://www.wikidata.org/entity/Q2061530,Swan Hunter,Великобритания,311,4_handysize (130-180м),53
http://www.wikidata.org/entity/Q2239612,Schlichting-Werft,Германия,16,2_прибрежное (25-100м),9
http://www.wikidata.org/entity/Q2289924,Sir James Laing and Sons,Великобритания,8,4_handysize (130-180м),3
http://www.wikidata.org/entity/Q2578470,William Denny and Brothers,Великобритания,170,3_mini-handy (100-130м),21
http://www.wikidata.org/entity/Q3505627,Earle's Shipbuilding,Великобритания,59,2_прибрежное (25-100м),11
http://www.wikidata.org/entity/Q6711338,Lödöse Varv AB,Швеция,4,4_handysize (130-180м),1
http://www.wikidata.org/entity/Q6750274,Manitowoc Shipbuilding Company,США,10,2_прибрежное (25-100м),1
http://www.wikidata.org/entity/Q11989662,Mjellem & Karlsen Verft,Норвегия,61,3_mini-handy (100-130м),3
http://www.wikidata.org/entity/Q23042271,Gravdal Skibsbyggeri,Норвегия,24,2_прибрежное (25-100м),11
http://www.wikidata.org/entity/Q52265373,Trosvik Verksted,Норвегия,88,8_vlcc и крупнее (>330м),1
http://www.wikidata.org/entity/Q281380,Бенетти,Италия,13,2_прибрежное (25-100м),13
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Германия,66,3_mini-handy (100-130м),8
http://www.wikidata.org/entity/Q316438,Deutsche Werft,Нацистская Германия,66,3_mini-handy (100-130м),8
