companyLabel,countryLabel,shipsBuilt,avgLength,latestYear,companyCoordinates
Красное Сормово,Россия,203,127.35326424870466321244,2021,Point(44.0075 56.326944444)
Q60390540,Китай,201,164.14512105263157894737,2018,
Q8637936,Китай,195,175.39170588235294117647,2021,Point(113.4636 23.10446)
Q578212,Словакия,194,89.95295081967213114754,2012,Point(18.1023 47.7613)
Q634984,США,193,139.628,1959,Point(-74.10611111 40.72388889)
Bremer Vulkan,Германия,192,273.35472972972972972973,2000,Point(8.625 53.168611111)
Bremer Vulkan,Германский рейх,192,273.35472972972972972973,2000,Point(8.625 53.168611111)
Q115155504,Республика Корея,190,190.30931284916201117318,2017,Point(128.423611111 34.845833333)
Q1747787,Германия,188,114.81720930232558139535,1986,Point(8.583333333 53.55)
Q1747787,Германский рейх,188,114.81720930232558139535,1986,Point(8.583333333 53.55)
Q1778277,Дания,188,261.81134502923976608187,2012,Point(10.53861111 55.46861111)
Q11357146,Япония,187,241.44438202247191011236,2011,Point(135.181722 34.653417)
Q4686063,Румыния,185,106.39394444444444444444,2020,Point(28.085805555 45.44375)
Q5163305,США,185,143.40888888888888888889,1958,
Q6198710,Япония,184,223.99254437869822485207,2003,Point(139.753611111 35.693944444)
Mitsubishi Heavy Industries,Япония,183,189.90079365079365079365,2020,Point(139.751527777 35.658027777)
Q1393251,Великобритания,182,152.54916666666666666667,1966,Point(-4.3083 55.8615)
Société Nouvelle des Forges et Chantiers de la Méditerranée,Франция,182,122.2268,1965,Point(0.165555555 49.5025)
Chantiers de l'Atlantique,Франция,181,288.633325,2026,Point(-2.213888888 47.273611111)
Q11395932,Япония,181,169.88993902439024390244,2020,Point(140.728916666 41.768666666)
Q11502553,Япония,181,190.78971428571428571429,2023,Point(136.906416666 35.180166666)
Q2638839,Нидерланды,179,102.798125,2023,Point(6.699994 53.173816)
Q12744193,Румыния,174,119.08047058823529411765,2005,Point(26.636388888 44.086388888)
Гданьская судоверфь,Польша,173,138.47083333333333333333,2014,Point(18.6540233 54.3482907)
Q90155277,Великобритания,173,0,1924,
William Denny and Brothers,Великобритания,172,105.22634615384615384615,1978,Point(-4.547222222 55.948611111)
Q60392782,Китай,170,193.0576375,2021,
New York Shipbuilding,США,168,418.00776774193548387097,1977,Point(-75.1066 39.9368)
Q115162051,Китай,166,158.0067962962962962963,2022,
Meyer Werft,Германия,165,2630.77537414965986394558,2025,Point(7.361528 53.096062)
Sumitomo Heavy Industries,Япония,165,225.93717948717948717949,2022,Point(139.727975 35.619733333)
Mitsubishi Heavy Industries Nagasaki Shipyard & Machinery,Япония,163,238.01932203389830508475,2021,Point(129.858528 32.742194)
Q19827622,Дания,163,79.861125,2003,Point(10.5429 57.437)
Q14715404,США,159,100,1948,Point(-70.91765278 42.25149167)
Uljanik,Хорватия,156,171.01572413793103448276,2019,Point(13.845555555 44.870277777)
Uljanik,Австро-Венгрия,156,171.01572413793103448276,2019,Point(13.845555555 44.870277777)
Uljanik,Югославия,156,171.01572413793103448276,2019,Point(13.845555555 44.870277777)
Q17193673,Япония,156,181.34319727891156462585,2020,Point(132.765555555 33.841388888)
Q11419682,Япония,153,158.30448529411764705882,2022,Point(134.046611111 34.342805555)
Q323531,Германия,151,163.96852713178294573643,2022,Point(9.436666666 54.781944444)
William Cramp and Sons,США,149,1350.99857142857142857143,1930,Point(-75.118333333 39.971666666)
Neptun Werft,Германия,147,197.39101694915254237288,2025,Point(12.133333333 54.083333333)
Северная верфь,Россия,145,106.77844444444444444444,2010,Point(30.2472 59.8758)
Q55071917,Нидерланды,144,55.40685714285714285714,2017,Point(3.57361 51.4425)
Boston Navy Yard,США,143,88.4,1945,Point(-71.0525 42.376111111)
Cestné a Stavebné Mechanizmy Tisovec,Словакия,143,109.88353383458646616541,1992,Point(18.165833333 48.9575)
Q11592949,Япония,141,123.68688888888888888889,2022,Point(130.401666666 33.59)
Q11407898,Япония,139,186.2607518796992481203,2022,Point(131.6125 33.238055555)
Q13403563,Китай,139,119.0439781021897810219,2024,Point(119.291666666 26.076944444)
Nordseewerke,Германия,134,172.11677419354838709677,2013,Point(7.206111111 53.366944444)
Q5208288,Румыния,130,205.32,2017,Point(28.582777777 43.817222222)
Q11401869,Япония,130,138.1147619047619047619,2023,
"R. & W. Hawthorn, Leslie and Company",Великобритания,129,125.94733333333333333333,1968,Point(-1.5128 54.9718)
Q11544607,Япония,129,105.828359375,2014,Point(132.765555555 33.841388888)
Jiangsu Hantong Ship Heavy Industry,Китай,129,201.14482926829268292683,2022,
Q3655760,Италия,128,135.87,2003,Point(10.30301 43.54268)
Todd Pacific Shipyards,США,127,116.41666666666666666667,2014,Point(-122.33 47.605)
Vickers-Armstrongs,Великобритания,126,166.82279411764705882353,2010,Point(-0.125972222 51.492222222)
Q882348,Германия,126,154.18326923076923076923,2016,Point(13.081944444 54.309166666)
Q2297404,Хорватия,126,173.92933684210526315789,2023,Point(14.3944 45.3369)
Q2297404,Австро-Венгрия,126,173.92933684210526315789,2023,Point(14.3944 45.3369)
Q2297404,Югославия,126,173.92933684210526315789,2023,Point(14.3944 45.3369)
Q11522869,Япония,126,100.49508064516129032258,2014,Point(132.765555555 33.841388888)
Q47109032,Норвегия,126,94.55457627118644067797,2023,Point(6.929236 62.5844629)
Q53909604,Китай,125,159.7574032258064516129,2018,Point(114.2975 30.595)
