companyLabel,countryLabel,shipsBuilt,avgLength,latestYear,coordinates
Щецинская судоверфь имени Адольфа Варского,Польша,249,163.27147321428571428571,2011,Point(14.555277777 53.424722222)
Верфь Китая CSC Jinling Shipyard,Китай,248,175.74392083333333333333,2020,Point(118.778888888 32.060833333)
IHI Marine United,Япония,235,260.71171296296296296296,2013,
Цзяннаньский судостроительный завод,Китай,228,203.37539247311827956989,2025,Point(121.3875 39.914166666)
Sungdong Shipbuilding & Marine Engineering,,227,252.46356164383561643836,2017,Point(128.691918 35.237968)
Nordic Yards Wismar,Германия,227,173.14627358490566037736,2021,Point(11.465 53.8925)
John Brown & Company,Великобритания,226,168.06530612244897959184,2013,Point(-4.4006 55.8997)
Newport News Shipbuilding,США,226,615.83473684210526315789,2009,Point(-76.484444444 37.070833333)
John I. Thornycroft & Company,Великобритания,222,104.3572,1965,Point(-0.1275 51.507222222)
Mitsui Tamano Shipyard,Япония,219,183.13238805970149253731,2021,Point(133.936622 34.477726)
Honda Heavy Industries,Япония,219,98.19054794520547945205,2015,Point(131.897588 32.979848)
Onomichi Dockyard,Япония,217,190.43893203883495145631,2023,Point(135.195444444 34.690166666)
Ingalls Shipbuilding,США,217,191.45574468085106382979,2005,Point(-88.558611111 30.364694444)
Stocznia Gdynia,Польша,214,183.72868932038834951456,2009,Point(18.54 54.5175)
Tsuneishi Kure Dock,Япония,204,154.00783505154639175258,2020,Point(132.565722222 34.249222222)
Красное Сормово,Россия,203,127.35326424870466321244,2021,Point(44.0075 56.326944444)
Yangzhou Binjiang Shipbuilding,Китай,201,164.14512105263157894737,2018,
Guangzhou Wenchong Shipyard,Китай,195,175.39170588235294117647,2021,Point(113.4636 23.10446)
SLKB Komarno – Slovak Shipyard Komárno,Словакия,194,89.95295081967213114754,2012,Point(18.1023 47.7613)
Federal Shipbuilding and Drydock Company,США,193,139.628,1959,Point(-74.10611111 40.72388889)
Bremer Vulkan,Германия,192,273.35472972972972972973,2000,Point(8.625 53.168611111)
Bremer Vulkan,Германский рейх,192,273.35472972972972972973,2000,Point(8.625 53.168611111)
"SPP Shipbuilding Co., Ltd.",Республика Корея,190,190.30931284916201117318,2017,Point(128.423611111 34.845833333)
Odense Steel Shipyard,Дания,188,261.81134502923976608187,2012,Point(10.53861111 55.46861111)
Mitsubishi Heavy Industries Kobe Shipyard & Machinery Works,Япония,187,241.44438202247191011236,2011,Point(135.181722 34.653417)
Consolidated Steel Corporation,США,185,143.40888888888888888889,1958,
Damen Shipyards Galați,Румыния,185,106.39394444444444444444,2020,Point(28.085805555 45.44375)
NKK,Япония,184,223.99254437869822485207,2003,Point(139.753611111 35.693944444)
Mitsubishi Heavy Industries,Япония,183,189.90079365079365079365,2020,Point(139.751527777 35.658027777)
Société Nouvelle des Forges et Chantiers de la Méditerranée,Франция,182,122.2268,1965,Point(5.881 43.108)
Fairfield Shipbuilding and Engineering Company,Великобритания,182,152.54916666666666666667,1966,Point(-4.3083 55.8615)
Shinkurushima Toyohashi Shipbuilding,Япония,181,190.78971428571428571429,2023,Point(136.906416666 35.180166666)
Hakodate Dock,Япония,181,169.88993902439024390244,2020,Point(140.728916666 41.768666666)
Chantiers de l'Atlantique,Франция,181,288.633325,2026,Point(-2.213888888 47.273611111)
Ferus Smit,Нидерланды,179,102.798125,2023,Point(6.699994 53.173816)
Oltenita Shipyard,Румыния,174,119.08047058823529411765,2005,Point(26.636388888 44.086388888)
Гданьская судоверфь,Польша,173,138.47083333333333333333,2014,Point(18.6540233 54.3482907)
John Duthie Torry Shipbuilding Company Limited,Великобритания,173,0,1924,
William Denny and Brothers,Великобритания,172,105.22634615384615384615,1978,Point(-4.547222222 55.948611111)
Chengxi Shipyard,Китай,170,193.0576375,2021,
New York Shipbuilding,США,168,418.00776774193548387097,1977,Point(-75.1066 39.9368)
Jiangsu Yangzijiang Shipbuilding,Китай,166,158.0067962962962962963,2022,
Sumitomo Heavy Industries,Япония,165,225.93717948717948717949,2022,Point(139.727975 35.619733333)
Meyer Werft,Германия,165,2630.77537414965986394558,2025,Point(7.361528 53.096062)
Orskov Yard,Дания,163,79.861125,2003,Point(10.5429 57.437)
Mitsubishi Heavy Industries Nagasaki Shipyard & Machinery,Япония,163,238.01932203389830508475,2021,Point(129.858528 32.742194)
Bethlehem Hingham Shipyard,США,159,100,1948,Point(-70.91765278 42.25149167)
Iwagi Zosen,Япония,156,181.34319727891156462585,2020,Point(132.765555555 33.841388888)
Uljanik,Хорватия,156,171.01572413793103448276,2019,Point(13.845555555 44.870277777)
Uljanik,Австро-Венгрия,156,171.01572413793103448276,2019,Point(13.845555555 44.870277777)
Uljanik,Югославия,156,171.01572413793103448276,2019,Point(13.845555555 44.870277777)
Shikoku Dockyard,Япония,153,158.30448529411764705882,2022,Point(134.046611111 34.342805555)
Flensburger Schiffbau-Gesellschaft,Германия,151,163.96852713178294573643,2022,Point(9.436666666 54.781944444)
