companyLabel,countryLabel,shipsBuilt,avgLength,latestYear,coordinates
Bodan-Werft,Германия,48,49.99206521739130434783,2003,Point(9.6 47.595833333)
Trondhjems mekaniske Værksted,Норвегия,48,81.57409090909090909091,1982,Point(10.4 63.44)
Ailsa Shipbuilding Company,Великобритания,48,73.41,2000,Point(-4.66 55.54)
Unión Naval Valencia,Испания,48,60.70347826086956521739,2012,Point(-0.376388888 39.47)
Tille Scheepsbouw,Нидерланды,47,90.61244444444444444444,2002,Point(6.103613 53.215015)
Aas Mek. Verksted AS,Норвегия,47,74.55739130434782608696,2022,Point(7.080345 62.635591)
Fredrikstad Mekaniske Verksted,Норвегия,47,145.90028571428571428571,1987,Point(10.918366 59.2106952)
Виккерс,Великобритания,47,173.58533333333333333333,2003,Point(-3.216666666 54.116666666)
Lux-Werft und Schifffahrt,Германия,47,40.31409090909090909091,2020,Point(7.056506 50.777145)
Oregon Shipbuilding Corporation,США,47,200.74555555555555555556,1964,Point(-122.666666666 45.516666666)
Янтарь (судостроительный завод),Россия,47,109.9456,2018,Point(20.5 54.716666666)
William Beardmore and Company,Великобритания,47,165.47058823529411764706,1930,Point(-4.1978 55.8486)
Hatlø Verksted,Норвегия,46,74.66976744186046511628,2011,Point(5.848611111 62.343055555)
Naikai Zosen Corporation,Япония,46,134.49409090909090909091,2025,Point(133.205444444 34.409111111)
Kvaerner Masa-Yards,Финляндия,46,233.09782608695652173913,2004,
STX Finland,Финляндия,46,165.14471739130434782609,2015,Point(22.266944444 60.451666666)
Moss Verft,Норвегия,45,96.81459459459459459459,2015,Point(10.6440561 59.4382833)
Lürssen Werft,Германия,45,96.90540540540540540541,2023,Point(8.59 53.17)
J.L. Thompson and Sons,Великобритания,44,135.54714285714285714286,1964,Point(-1.357777777 54.916111111)
"Cook, Welton & Gemmell",Великобритания,44,59.4,1947,Point(-0.4315677 53.8425488)
Svendborg Skibsværft,Дания,44,64.82114285714285714286,1996,
Brest Arsenal,Франция,44,122.05145454545454545455,1973,Point(-4.496666666 48.386666666)
Damen Yichang Shipyard,Китай,43,123.03525,2024,
Astilleros Balenciaga,Испания,43,55.50325581395348837209,2022,Point(-2.251447 43.295692)
Flekkefjord Slipp & Maskinfabrikk AS,Норвегия,43,72.73205128205128205128,2009,
Fiskerstrand Verft,Норвегия,43,81.41697674418604651163,2017,Point(6.2748134 62.441441)
Jansen-Werft,Германия,43,89.94348837209302325581,2016,Point(7.4537 53.21784)
Hitzler Werft,Германия,43,57.348,2008,Point(10.558888888 53.375833333)
Charles Connell and Company,Великобритания,43,152.30666666666666666667,1959,Point(-4.34815 55.8782)
A. & J. Inglis,Великобритания,43,66.98888888888888888889,1953,Point(-4.25 55.861111111)
William Gray & Company,Великобритания,43,135.14333333333333333333,1948,Point(-1.22498 54.6889)
Jiangsu Rongsheng Heavy Industries,Китай,43,271.08837209302325581395,2015,Point(120.5827093 32.0298378)
Nordsøværftet,Дания,42,72.83333333333333333333,1997,Point(8.25 56.083333333)
Tersan Shipyard,Турция,42,97.09380952380952380952,2023,Point(29.511388888 40.6975)
Kawasaki Heavy Industries Ship & Offshore Structure Company,Япония,42,232.536,2007,Point(135.195444444 34.690166666)
Арсенал флота в Сасэбо,Япония,42,149.26307692307692307692,1927,Point(129.735 33.168)
Boelwerf,Бельгия,42,150.72666666666666666667,1994,Point(4.201944 51.118889)
Niigata Shipbuilding & Repair,Япония,41,68.18653658536585365854,2017,Point(139.036388888 37.916194444)
Lindholmen Shipyard,Швеция,40,128.4905,1968,Point(11.9675 57.7075)
Lühring-Werft,Германия,40,55.33875,1988,Point(8.483333333 53.333333333)
G.J. van der Werff,Нидерланды,40,49.821,1962,Point(6.667000637 53.181063978)
Sterkoder,Норвегия,39,78.15,2001,Point(7.7702522 63.1187224)
Myklebust Verft,Норвегия,39,85.61153846153846153846,2022,Point(5.646007 62.220996)
Walsh-Kaiser Company,США,39,0,1944,Point(-71.383055555 41.787777777)
Austal USA,США,39,95.26846153846153846154,2018,Point(-88.052672222 30.727669444)
Керченский судостроительный завод,Россия,39,130.42689655172413793103,2000,Point(36.468055555 45.338611111)
Керченский судостроительный завод,Украина,39,130.42689655172413793103,2000,Point(36.468055555 45.338611111)
Valmet,Финляндия,39,141.33,1986,Point(24.655555555 60.205555555)
Remontowa Shipbuilding,Польша,39,88.72805555555555555556,2020,Point(18.6540233 54.3482907)
Chowgule Group,Индия,39,82.64432432432432432432,2023,Point(74.002766 15.343137)
Vickers Limited,Великобритания,38,137.36,1926,Point(-0.1275 51.507222222)
Bethlehem Sparrows Point Shipyard,США,38,166.125,1998,Point(-76.490111111 39.218638888)
Невский завод,Россия,38,220,1908,Point(30.316666666 59.95)
Ateliers et Chantiers du Havre,Франция,38,127.13432432432432432432,2002,Point(0.108055555 49.494166666)
Военно-морской арсенал Куре,Япония,38,218.08,1944,Point(132.554 34.232)
Empresa Nacional Bazán,Испания,38,119.925,1996,Point(-8.232777777 43.484444444)
Navantia,Испания,38,160.6265,2018,Point(-3.703333333 40.416944444)
E.J. Smit & Zoon's Scheepswerven,Нидерланды,38,70.22,1986,Point(6.674395 53.179356)
Missouri Valley Bridge & Iron Co.,США,37,0,,
Henry Robb,Великобритания,37,91.146875,1983,Point(-3.17005 55.9801)
Moore Dry Dock Company,США,37,164.95,1947,Point(-122.290138888 37.796972222)
Lake Washington Shipyard,США,37,0,1945,Point(-122.207 47.6567)
Uddevalla shipyard,Швеция,37,209.55354838709677419355,1985,
Sociedad Española de Construcción Naval,Испания,37,130.09714285714285714286,1969,Point(-3.5 40.2)
Reiherstieg Schiffswerfte & Maschinenfabrik,Германия,37,72.41235294117647058824,1940,Point(10.0 53.55)
CRIST,Польша,36,93.61941666666666666667,2022,Point(18.510199 54.5362)
Chicago Bridge & Iron Company,Нидерланды,36,100,1945,Point(4.31 52.08)
Joh. C. Tecklenborg,Германия,36,100.26454545454545454545,1927,
Fassmer,Германия,36,40.53441176470588235294,2025,Point(8.483333333 53.183333333)
Puget Sound Naval Shipyard,США,36,182.05,1926,Point(-122.64417 47.55833)
Caledon Shipbuilding & Engineering Company,Великобритания,36,109.97588235294117647059,1973,Point(-2.9579587 56.4623247)
Кузница на Рыбальском,Украина,36,71.17558928571428571429,2009,Point(30.523611111 50.45)
Nuovi Cantieri Apuania,Италия,36,147.4,2013,Point(10.045555555 44.038055555)
Cantieri Riuniti dell'Adriatico,Италия,36,1358.60074074074074074074,1966,Point(13.770277777 45.650277777)
Scheepswerf Appingedam v/h A. Apol,Нидерланды,36,45.3975,1966,Point(6.793098 53.314732)
Sheerness Dockyard,Великобритания,35,57.91,1903,Point(0.753 51.442)
Koninklijke De Vries Scheepsbouw,Нидерланды,35,51.75171428571428571429,2014,Point(4.75972 52.25917)
Constanța Shipyard,Румыния,35,190.45823529411764705882,2020,Point(28.6507598 44.1767161)
Hermann Sürken,Германия,35,80.9228125,1993,
Robert Napier and Sons,Великобритания,34,120.0775,1889,Point(-4.25 55.861111111)
Hollming,Финляндия,34,90.1621875,1992,
Marine Industries Limited,Канада,34,160.47333333333333333333,1974,Point(-73.1167 46.0333)
Garden Reach Shipbuilders & Engineers,Индия,34,80.12,2008,Point(88.37 22.5675)
P+S Werften,Германия,34,128.9430303030303030303,2014,Point(13.766666666 54.05)
Finnboda Shipyard,Швеция,34,102.316,1979,Point(18.163889 59.31)
Lockheed Shipbuilding and Construction Company,США,34,127.43363636363636363636,1974,Point(-122.33 47.605)
"Baltijos laivų statykla, AB",Литва,34,76.84740740740740740741,2025,Point(21.135 55.7125)
"Scheepswerf Gebr. van Diepen, Waterhuizen",Нидерланды,34,98.29323529411764705882,2002,Point(6.648361111 53.186388888)
Karstensens Skibsværft,Дания,33,64.47090909090909090909,2019,Point(10.5818 57.7161)
Cheoy Lee Shipyards Ltd.,Китай,33,32.81125,2018,Point(114.158611111 22.278333333)
Oskarshamn Shipyard,Швеция,33,101.81851851851851851852,1995,Point(16.46830556 57.261825)
Chantiers Dubigeon,Франция,33,128.56592592592592592593,1984,Point(-1.553888888 47.217222222)
Fujinagata Shipyards,Япония,33,125.25666666666666666667,1967,
Bombay Dockyard,Индия,33,54.86,1848,Point(72.841 18.9287)
Штулкен,Германия,33,83.71321428571428571429,1964,Point(10.0 53.55)
Штулкен,Германский рейх,33,83.71321428571428571429,1964,Point(10.0 53.55)
Cantieri navali Odero,Италия,33,0,1930,Point(8.933983333 44.407186111)
Cantieri Aeronautici e Navali Triestini,Королевство Италия,33,224.12333333333333333333,2003,Point(13.533333333 45.8)
Eastern Shipbuilding Group,США,32,100.62721333333333333333,2025,Point(-85.664167 30.174167)
Åsiverken,Швеция,32,40.5828,1984,
Marinship,США,32,161.16357142857142857143,1966,Point(-122.490277777 37.857777777)
Richard Dunston,Великобритания,32,41.09580645161290322581,1993,Point(-0.4319 53.7239)
Ateliers et Chantiers de Saint-Nazaire Penhoët,Франция,32,171.93642857142857142857,1954,Point(-2.213888888 47.273611111)
Arsenal de Rochefort,Франция,31,72.03,1848,Point(-0.9579 45.9351)
Laivateollisuus,Финляндия,31,69.40428571428571428571,1990,Point(22.266944444 60.451666666)
La Naval (Sestao),Испания,31,187.96766666666666666667,2018,Point(-2.991108 43.310401)
Wilton-Fijenoord,Нидерланды,31,144.19,1967,Point(4.38225746 51.903862)
Vickers Shipbuilding and Engineering,Великобритания,31,178.75076923076923076923,2002,Point(-3.216666666 54.116666666)
Тулон,Франция,31,31.57,1836,Point(5.930555555 43.125)
Sosnovskiy Shipyard,Россия,31,25.15222222222222222222,1991,Point(51.283333333 56.25)
Oma Baatbyggeri,Норвегия,30,29.80965517241379310345,2020,Point(5.522577 59.7868922)
АО «Окская Судоверфь»,,30,128.736,2019,
Orenstein & Koppel,Германия,30,109.36857142857142857143,1990,Point(13.383333333 52.516666666)
A&P Group,Великобритания,30,132.186,1987,Point(-1.5128 54.9718)
Kaiserliche Werft Danzig,Германия,30,77.64766666666666666667,1892,Point(18.6540233 54.3482907)
Bollinger Mississippi Shipbuilding,США,29,91.06243793103448275862,2018,
Trønderverftet,Норвегия,29,67.81642857142857142857,2000,Point(10.7813983 63.4150363)
Mitsubishi Heavy Industries Shimonoseki Shipyard & Machinery Works,Япония,29,124.54592592592592592593,2025,
Aker Finnyards,Финляндия,29,212.28172413793103448276,2008,
Marinteknik,Швеция,29,40.13346153846153846154,2008,
Skinner & Eddy,США,29,0,1919,Point(-122.33 47.605)
Burrard Dry Dock,Канада,29,110.99714285714285714286,1991,Point(-123.078888888 49.308333333)
Crichton-Vulcan,Финляндия,29,113.57681818181818181818,1976,Point(22.23341111 60.43448333)
Veka Shipyard Lemmer,Нидерланды,29,97.28896551724137931034,2017,Point(5.7093 52.8437)
Брест,Франция,29,93.48428571428571428571,1877,Point(-4.486944444 48.39)
Vaagland Båtbyggeri,Норвегия,28,46.77851851851851851852,2020,Point(8.2927114 63.117239)
Austin & Pickersgill,Великобритания,28,136.08636363636363636364,1989,Point(-1.380277777 54.9)
Nakskov Skibsværft,Дания,28,145.78740740740740740741,1986,Point(11.1234 54.8288)
Great Lakes Engineering Works,США,28,165.46857142857142857143,1959,
Schichau Unterweser,Германия,28,108.09592592592592592593,1992,
Marinette Marine,США,28,90.832,2004,Point(-87.6203 45.100152)
Rotterdamsche Droogdok Maatschappij,Нидерланды,28,160.6085,1982,Point(4.48 51.92)
American Bridge Company,США,28,214,,Point(-80.1628 40.5158)
Cantieri Navali Codecasa,Италия,28,45.02785714285714285714,2015,Point(10.2369666 43.8634276)
Mazagon Dock Shipbuilders,Индия,27,114.85,2000,Point(72.8775 19.075833333)
Натанаэль Грин Херрешофф,,27,0,1941,
Bijlsma Wartena,Нидерланды,27,87.38,2008,Point(5.888557 53.149837)
Factorías Vulcano,Испания,26,113.19230769230769230769,2019,Point(-8.70225 42.250833333)
Laxevaag Maskin & Jernskibsbyggeri,Норвегия,26,68.8625,2017,Point(5.292489 60.3894372)
Usuki Shipyard,Япония,26,138.21958333333333333333,2025,Point(131.80525 33.126111111)
Levingston Shipbuilding Company,США,26,79.79066666666666666667,1982,Point(-93.759166666 30.109166666)
"Richardson, Duck and Company",Великобритания,26,103.25,1924,Point(-1.3049 54.5556)
Halifax Shipyard,Канада,26,120.1695,2014,Point(-63.571388888 44.647777777)
Österreichische Schiffswerften AG,Австрия,26,82.75045454545454545455,2017,Point(14.286388888 48.305833333)
Unión Naval de Levante,Испания,26,119.54916666666666666667,2009,Point(-0.327361111 39.4525)
Jiangsu New Yangzi Shipbuilding,Китай,26,227.16956,2024,
Tangen Verft,Норвегия,25,101.04391304347826086957,2003,Point(9.4178338 58.8751701)
Kanrei Shipbuilding,Япония,25,99.2104,2015,Point(134.608777777 34.172583333)
Aker Solutions Stord,Норвегия,25,199.6275,2009,Point(5.4903746 59.7644432)
Basalt Rock Company,США,25,195.5,1953,Point(-122.270622 38.26433)
Forges et Chantiers de la Gironde,Франция,25,138.97333333333333333333,1949,Point(-0.579444444 44.837777777)
Muetzelfeldtwerft in Cuxhaven,Германия,25,83.68136363636363636364,2010,Point(8.7 53.866666666)
Furness Shipbuilding Company,Великобритания,25,154.1,1955,Point(-1.250453 54.594785)
Framnæs Mekaniske Værksted,Норвегия,25,120.8325,1981,Point(10.22792 59.118208)
Morton Engineering and Dry Dock Company,Канада,24,63.5,1955,Point(-71.224167 46.816111)
Royal Shipyard of Esteiro,Испания,24,84.985,1902,
Harlan and Hollingsworth,США,24,203,1903,Point(-75.551388888 39.748333333)
Arsenal de la Carraca,Испания,24,0,,Point(-6.18014884 36.49713275)
Samuda Brothers,Великобритания,24,168.75777777777777777778,1893,Point(-0.006161111 51.497480555)
Nederlandsche Dok en Scheepsbouw Maatschappij,Нидерланды,24,189.76764705882352941176,1963,Point(4.883333333 52.366666666)
Nieuwe Noord-Nederlandsche Scheepswerven,Нидерланды,24,71.52875,1986,Point(6.608615 53.199124)
Astilleros de Murueta,Испания,23,87.01428571428571428571,2025,
Boelwerf Vlaanderen NV,Бельгия,23,139.62739130434782608696,1995,Point(4.213333333 51.126111111)
Yamanishi Zosen,Япония,23,129.16681818181818181818,2017,Point(141.302722222 38.43425)
Glommen Mekaniske verksted,Норвегия,23,90.20944444444444444444,1982,
Sasaki Shipbuilding,Япония,23,101.83565217391304347826,2016,Point(132.459722222 34.396388888)
Richmond Shipyards,США,23,111.65714285714285714286,1945,Point(-122.364664 37.906194)
Motala Verkstad,Швеция,23,30.495,1916,Point(15.036873338 58.544165323)
Cochrane Shipbuilders,Великобритания,23,62.41238095238095238095,1991,Point(-1.05038 53.78099)
Toulon Arsenal,Франция,23,58.09,1884,Point(5.916388888 43.119444444)
Рошфор,Франция,23,61.77666666666666666667,1855,Point(-0.966944444 45.941944444)
Odero-Terni-Orlando,Италия,23,119.62222222222222222222,1947,Point(8.933983333 44.407186111)
Yangfan Group Co.,Китай,23,147.23043478260869565217,2015,
Kristiansands Mek. Verksted,Норвегия,22,95.97083333333333333333,1982,Point(7.984 58.143)
Victoria Machinery Depot,Канада,22,99.96076923076923076923,1966,Point(-123.3657 48.422151)
Mort's Dock,Австралия,22,123.58,1953,Point(151.184 -33.8538)
Jeffboat,США,22,77.495,1985,
Hellesøy Verft,Норвегия,22,70.45285714285714285714,2014,Point(6.0066864 60.0304043)
Cochin Shipyard,Индия,22,110.68863636363636363636,2014,Point(76.3 9.934)
Asenav,Чили,22,65.81857142857142857143,2017,Point(-71.0 -33.0)
Feadship,Нидерланды,22,78.45136363636363636364,2024,
Elsfleth Shipyard,Германия,22,78.42954545454545454545,1994,Point(8.466666666 53.233333333)
Bodewes Binnenvaart,Нидерланды,22,43.5955,1990,Point(6.04985 51.86739444)
Bergsunds Mekaniska Verkstad,Швеция,22,36.495,1916,Point(18.068611111 59.329444444)
Torgem Shipyard,Турция,22,105.88181818181818181818,2015,
Groningen Shipyards B.V.,Нидерланды,21,85.24578947368421052632,2024,Point(6.648361111 53.186388888)
Lindstøl Skips- & Båtbyggeri,Норвегия,21,32.484,2002,Point(9.2415839 58.7212628)
Brodotrogir,Хорватия,21,157.44428571428571428571,2019,Point(16.242299 43.511481)
Horten Verft,Норвегия,21,142.43454545454545454545,1982,Point(10.4815375 59.4291951)
Cityvarvet,Швеция,21,180.424375,1983,Point(11.952 57.71)
Schiffswerft Schmidt,Германия,21,33.11238095238095238095,1958,Point(7.230555555 50.578611111)
William Hamilton and Company,Великобритания,21,167.49,1961,Point(-4.69 55.94)
Лорьян,Франция,21,101.995,1877,Point(-3.366388888 47.745833333)
"Scheepswerf Voorwaarts, Hoogezand",Нидерланды,21,63.42285714285714285714,1982,Point(6.728661 53.168508)
ASL Shipyard,Индонезия,20,48.235,2013,Point(103.90111699 1.081375807)
Gulf Island Shipyards,США,20,108.15266315789473684211,2025,Point(-92.6569 30.2222)
Moen Marin,Норвегия,20,39.91222222222222222222,2009,Point(11.6188575 64.8621106)
Гороховецкий судостроительный завод,Россия,20,40.4275,1992,Point(42.6925 56.202777777)
A. Vuijk & Zonen's Scheepswerven,Нидерланды,20,92.82,1979,Point(4.59252119 51.92498)
John Roach & Sons,США,20,83.67,1884,Point(-75.372777777 39.847222222)
Skaalurens Skibsbyggeri,Норвегия,20,51.427,1987,Point(6.0051783 59.9865873)
Lisnave,Португалия,20,120.09,1971,Point(-9.15833333 38.68027778)
Tampa Shipbuilding Company,США,20,0,1942,Point(-82.441188 27.943955)
Ильичевский судоремонтный завод,Украина,20,31.90066666666666666667,1990,Point(30.628889 46.355278)
Кралевица,Хорватия,20,87.33222222222222222222,2009,Point(14.56826 45.27413)
Ateliers et Chantiers de France,Франция,20,165.82833333333333333333,1987,Point(2.375219 51.047762)
VT Group,Великобритания,20,61.12,2005,Point(-1.404444444 50.906666666)
Bartram & Sons,Великобритания,20,127.75636363636363636364,1969,Point(-1.380277777 54.9)
Arminius-Werke,Германия,20,69.47538461538461538462,1997,Point(9.516666666 51.966666666)
Deutsche Werke,Германский рейх,20,222.41428571428571428571,1936,Point(13.383333333 52.516666666)
Судоверфь Кавасаки,Японская империя,20,162.028,1930,Point(135.166666666 34.675833333)
Ramage & Ferguson,Великобритания,19,83.755,1932,
Schiffswerft Diedrich,Германия,19,45.36388888888888888889,2022,Point(7.341666666 53.325277777)
Estaleiro Mauá,Бразилия,19,168.98526315789473684211,2014,Point(-43.1283 -22.8772)
Westermoen Hydrofoil,Норвегия,19,33.564,1990,Point(7.45861 58.0247)
Oceanco,Нидерланды,19,82.16473684210526315789,2023,Point(4.666666666 51.866666666)
Pusey and Jones,США,19,119.25,1946,
Portsmouth NSY,США,19,0,1843,Point(-70.734166666 43.078888888)
Neue Jadewerft GmbH,Германия,19,42.55894736842105263158,1990,Point(8.105555555 53.528611111)
Kaiserliche Werft Wilhelmshaven,Германия,19,129.64421052631578947368,,Point(8.105555555 53.528611111)
Kaiserliche Werft Wilhelmshaven,Германская империя,19,129.64421052631578947368,,Point(8.105555555 53.528611111)
Mitsui Chiba Shipyard,Япония,19,188.80125,2014,Point(140.106361111 35.607277777)
Solstrand Verft,Норвегия,18,50.62625,2007,Point(6.9135723 62.582887)
Larsnes Mekaniske Verkstad,Норвегия,18,62.88888888888888888889,2023,Point(5.572472 62.203405)
Kaarbøs Mek. Verksted,Норвегия,18,50.85294117647058823529,1983,Point(16.5422656 68.7972695)
Båtservice Mandal Verft,Норвегия,18,44.77777777777777777778,2014,Point(7.483333 58.033333)
Hayashi Kanesen,Япония,18,124.49555555555555555556,1995,
Huntington Ingalls Industries,США,18,240.11666666666666666667,,Point(-76.484444444 37.070833333)
Ленинградский металлический завод,,18,98,,Point(30.39527778 59.95916667)
Electric Launch Company,США,18,0,,
Clelands Shipbuilding Company,Великобритания,18,75.54764705882352941176,1983,Point(-1.5311 54.991280555)
Neafie & Levy,,18,20.88,1907,Point(-75.1224 39.9815)
Umoe Mandal,Норвегия,18,49.27857142857142857143,2017,Point(7.4752319 58.0162909)
Ganz-Danubius,Венгрия,18,71.51,1971,Point(19.0719 47.5364)
BBG Bootsbau Berlin,Германия,18,28.6625,1992,Point(13.577222222 52.445833333)
Dakota Creek Industries,США,18,82.65428888888888888889,2016,Point(-122.610554561 48.519303575)
Fitjar Mekaniske Verksted,Норвегия,17,72.38647058823529411765,2021,Point(5.3141634 59.9242163)
Porsgrund Mek. Verksted,Норвегия,17,90.173,1994,Point(9.6339121 59.13864)
ОСТОН - завод имени С.М. Кирова,Россия,17,54.615,1991,Point(135.066666666 48.483333333)
Haugesunds Slip,Норвегия,17,86.164375,1983,
Eqva,Норвегия,17,113.17647058823529411765,2014,Point(5.633888888 62.341666666)
Уильямстаунская верфь,Австралия,17,100.89,1973,Point(144.911 -37.8639)
Colombo Dockyard,Шри-Ланка,17,72.63928571428571428571,2022,Point(79.860555555 6.926666666)
Allied Shipbuilders,Канада,17,46.94470588235294117647,1997,
Пелла (завод),Россия,17,29.18285714285714285714,2016,Point(30.794444444 59.774166666)
Вильям Генри Вебб,,17,0,1865,
Kremer-Werft,Германия,17,302.53333333333333333333,1978,Point(9.65 53.75)
D. and W. Henderson and Company,Великобритания,17,112.64888888888888888889,1904,Point(-4.25448 55.862)
Burntisland Shipbuilding Company,Великобритания,17,106.4,1950,Point(-3.2385913 56.0568674)
Rodriquez Cantieri Navali,Италия,17,88.13058823529411764706,2005,Point(15.554166666 38.193611111)
Piriou Group,Франция,17,49.45882352941176470588,2024,Point(-3.918888888 47.875277777)
Kaiserliche Werft Kiel,Германская империя,17,121.25235294117647058824,1909,Point(10.139444444 54.323333333)
Anadolu Shipyard,Турция,17,128.85454545454545454545,2013,Point(29.280555555 40.833888888)
Verolme Scheepswerf Heusden,Нидерланды,17,125.25705882352941176471,1996,Point(5.145378111 51.736522)
VAHALI,,17,133.4325,2023,Point(5.9725 51.8769)
Daehan Shipbuilding,Республика Корея,16,265.95125,2017,
Royal Shipyard of Havana,Испанская империя,16,61.3,1794,
Cemre Shipyard,Турция,16,88.46066666666666666667,2025,Point(29.275 40.655555555)
Wuhu Shipyard,Китай,16,123.906,2024,Point(118.36223 31.33398)
Schiffswerft Schlömer,Германия,16,55.46875,1999,Point(7.338611111 53.329166666)
Scheepswerf Slob,Нидерланды,16,76.613125,2020,
Sava Shipyard,Сербия,16,96.473125,2005,
Ørens Mekaniske Værksted,Норвегия,16,61.25928571428571428571,1978,Point(10.3621963 63.4323129)
Hjørungavaag Verksted,Норвегия,16,66.43266666666666666667,2001,Point(6.0809439 62.3546636)
Storvik Mekaniske Verksted,Норвегия,16,65.12818181818181818182,1982,
Brødrene Lothe,Норвегия,16,62.678125,1982,Point(5.2513712 59.4175155)
Adam and Noah Brown,США,16,0,1813,Point(-74.006111111 40.712777777)
Vard Group,Норвегия,16,125.02125,2022,Point(6.190277777 62.477777777)
Södra varvet,Швеция,16,20.05333333333333333333,1903,Point(18.09416667 59.31611111)
Westermoen Båtbyggeri og Mek Verksted,Норвегия,16,55.895,2000,Point(7.45861 58.0247)
John Crown & Sons Ltd,Великобритания,16,102.4,1954,Point(-1.357777777 54.916111111)
Gourlay Brothers,Великобритания,16,78.3,1940,Point(-2.97 56.460555555)
Schlichting-Werft,Германия,16,94.11733333333333333333,1986,Point(10.8692 53.9606)
Schiffswerft Laubegast,Германия,16,22.282,2005,Point(13.84303 51.018652)
Blyth Shipbuilding Company,Великобритания,16,101.47,1958,Point(-1.514 55.126)
Greenock Dockyard Company,Великобритания,16,158.8625,1965,Point(-4.766666666 55.95)
Пульман,США,16,57,1944,Point(-104.984722222 39.739166666)
Zhenjiang Sopo Shipbuilding,Китай,16,101.45375,2014,
Liaaen Shipyard,Норвегия,15,63.89230769230769230769,1992,Point(6.125665 62.4665871)
Smedvik mekaniske verksted,Норвегия,15,64.47928571428571428571,1981,Point(5.7373431 62.2917849)
Jurong Shipyard,Сингапур,15,153.15464285714285714286,2011,
United States Coast Guard Yard,США,15,54.9,1942,Point(-76.5672 39.1997)
Delaware River Iron Ship Building and Engine Works,,15,166.36333333333333333333,1874,Point(-75.372777777 39.847222222)
Ярославский судостроительный завод,,15,56.955,1993,Point(39.893333333 57.626388888)
Cockerill Yards,Бельгия,15,160.22625,1972,Point(4.334167 51.176944)
Grangemouth Dockyard Company,Великобритания,15,76.42222222222222222222,1966,
Astillero Río Santiago,Аргентина,15,138.66666666666666666667,2024,Point(-57.9 -34.85)
Oderwerke,Польша,15,71.56636363636363636364,2014,Point(14.555277777 53.424722222)
Mitsui E&S Shipbuilding,Япония,15,0,,Point(139.691666666 35.689444444)
Naval Gijón,Испания,15,144.38933333333333333333,2009,Point(-5.67732 43.52931)
Sir Raylton Dixon & Co.,Соединённое королевство Великобритании и Ирландии,15,61.02,1917,
Taizhou Maple Leaf Shipbuilding,Китай,15,172.58538461538461538462,2013,Point(121.31439 28.76256)
Sefine Shipyard,Турция,14,84.97057142857142857143,2022,
Cockatoo Docks & Engineering Company,,14,186,,
Fevigs Jernskibsbyggeri,Норвегия,14,118.83333333333333333333,1910,
"Todd Pacific Shipyards, Los Angeles Division",США,14,203.61,1962,Point(-118.29 33.74)
Bolsønes Verft,Норвегия,14,60.23846153846153846154,1982,Point(7.198535 62.739129)
Djupvik shipyard,Швеция,14,26.46166666666666666667,2019,
Seattle Construction and Drydock Company,США,14,294.775,1914,Point(-122.33 47.605)
New England Shipbuilding Corporation,США,14,131.885,1945,Point(-70.234444444 43.650833333)
Bollinger Shipyards,США,14,113.875,2021,Point(-90.53925 29.64605)
Northrop Grumman Ship Systems,США,14,289.318,2003,Point(-88.558611111 30.364694444)
Vulkanwerft,Германия,14,188.54,1929,Point(10.0 53.55)
Kölner Werft,Германия,14,64.25,1972,Point(6.98374444 50.95321111)
Blackwall Yard,Великобритания,14,91,1874,Point(-0.00333333 51.5069)
Дональд Маккей,,14,71.06666666666666666667,1869,
Italcantieri,Италия,14,134.21375,1983,Point(13.770277777 45.650277777)
Walter Hood and Company,Великобритания,14,64.62,1895,
Astilleros Celaya,Испания,14,71.40428571428571428571,1988,Point(-2.973315 43.295979)
Arsenal Real da Marinha de São Salvador,Бразилия,14,49.37571428571428571429,1838,
Scheepswerf Gebroeders van der Werf,Нидерланды,14,79.804,1973,Point(5.85278 51.8425)
Gisan,Турция,13,118.51384615384615384615,2009,Point(29.291898 40.850971)
Kötter-Werft,Германия,13,71.10538461538461538462,1996,Point(7.25 52.798)
Thecla Bodewes Shipyards,Нидерланды,13,91.80833333333333333333,2025,
Drammen Slip & Verksted,Норвегия,13,98.05111111111111111111,1985,Point(10.205969444 59.745361111)
Westcon Yards,Норвегия,13,92.10384615384615384615,2021,Point(5.7638093 59.606242)
Kingston Shipyards,Канада,13,0,,Point(-76.481111111 44.230555555)
Alexandria Shipyard,Египет,13,121.80666666666666666667,2007,Point(29.8687 31.1724)
Walkers Limited,Австралия,13,0,1943,Point(152.701944444 -25.5375)
"Hvide Sande Shipyard, Steel & Service",Дания,13,32.53,2021,Point(8.13153333 56.00133333)
Yokosuka Shipyards,Япония,13,0,,
Polson Iron Works Limited,Канада,13,130,,Point(-79.386666666 43.670277777)
Goa Shipyard Limited,Индия,13,66.62571428571428571429,2011,Point(74.043333333 15.401944444)
Петрозавод,Россия,13,29.75,1967,Point(30.316666666 59.95)
Судостроительный завод «Океан»,Украина,13,143.69,2007,Point(31.995 46.975)
Hindustan Shipyard,Индия,13,109.84285714285714285714,2010,Point(83.292222222 17.693888888)
Ateliers et Chantiers de Bretagne,Франция,13,0,,Point(-1.553888888 47.217222222)
Sir Raylton Dixon,,13,103.055,1912,
Heinrich Brand Schiffswerft,Германия,13,89.72461538461538461538,1996,Point(8.24806 53.1414)
Lobnitz,Великобритания,13,82,1955,Point(-4.366666666 55.866666666)
Hashihama Shipbuilding,Япония,12,190.58416666666666666667,2000,
