companyLabel,countryLabel,shipsBuilt,avgLength,latestYear
Q882348,Германия,126,154.18326923076923076923,2016
Q2297404,Хорватия,126,173.92933684210526315789,2023
Q2297404,Австро-Венгрия,126,173.92933684210526315789,2023
Q2297404,Югославия,126,173.92933684210526315789,2023
Q11522869,Япония,126,100.49508064516129032258,2014
Q53909604,Китай,125,159.7574032258064516129,2018
Бурмейстер и Вайн,Дания,124,186.13775280898876404494,1995
Николаевский судостроительный завод,Украина,123,155.3562962962962962963,2008
Q11269026,Япония,123,156.32808695652173913043,2020
Q1408079,Швеция,122,192.200625,2012
Bethlehem Steel,США,122,188.13090909090909090909,1989
Q109461966,Китай,120,66.63641025641025641026,2017
Балтийский завод,Россия,118,168.82867924528301886792,2022
Черноморский судостроительный завод,Украина,118,171.99784313725490196078,2014
Q3437865,Норвегия,118,108.04872093023255813953,2010
Germaniawerft,Германский рейх,117,107.19666666666666666667,1940
Schichau Seebeck,Германия,116,127.70235849056603773585,2011
AG Weser,Германия,114,146.81147727272727272727,1981
AG Weser,Германский рейх,114,146.81147727272727272727,1981
Чатемская верфь,Великобритания,111,71.45571428571428571429,1941
Бродосплит,Хорватия,111,165.94990740740740740741,2018
John I. Thornycroft & Company,Великобритания,111,104.3572,1965
Q483564,Республика Корея,111,238.79708333333333333333,2018
Q17217132,Япония,108,200.88673076923076923077,2023
Q8207463,Япония,108,112.22916666666666666667,2016
Q2079531,Германия,107,87.55555555555555555556,2009
Q1774285,Норвегия,106,106.87563106796116504854,2019
Q5389052,Швеция,106,151.71111111111111111111,1978
Flender Werke,Германия,105,157.87410989010989010989,2003
Flender Werke,Нацистская Германия,105,157.87410989010989010989,2003
Flender Werke,Германский рейх,105,157.87410989010989010989,2003
Девонпорт (военно-морская база),Великобритания,104,121.48578947368421052632,1970
Q18338801,Япония,104,98.23107843137254901961,2015
Q1673509,Германия,103,114.78734693877551020408,2009
Avondale Shipyards,США,103,194.20916666666666666667,2006
Q5976644,США,103,146.90428571428571428571,1945
Q24204847,Великобритания,102,70.81333333333333333333,1916
Варненский судостроительный завод,Болгария,102,158.01472527472527472527,2012
Fore River Shipyard,США,100,483.005,1985
Q115322850,Япония,98,255.36846938775510204082,2018
Портсмут,Великобритания,97,127.92038461538461538462,1968
Karlskronavarvet,Швеция,96,63.97222222222222222222,2012
Kawasaki Heavy Industries,Япония,95,183.62467532467532467532,2020
Q2477530,Норвегия,95,90.55152173913043478261,2021
Q100235343,Нидерланды,95,93.58703296703296703297,2023
Q56239675,Нидерланды,95,91.9343010752688172043,2017
Q5629591,Филиппины,95,278.08271276595744680851,2019
Q11957113,Норвегия,94,136.94294117647058823529,1971
Нью-Йоркская военно-морская верфь,США,92,487.12857142857142857143,1941
Société Nouvelle des Forges et Chantiers de la Méditerranée,Франция,91,122.2268,1965
Q52265373,Норвегия,91,93.87171590909090909091,2020
Соломбальская верфь (казённая мануфактура),Российская империя,91,46.95,1856
Wärtsilä,Финляндия,90,143.41627906976744186047,1998
Austal,Австралия,90,64.305745,2021
Q1559702,Швеция,89,152.38982456140350877193,1988
Адмиралтейские верфи,Россия,88,153.97423076923076923077,2012
Palmers Shipbuilding and Iron Company,Великобритания,87,110.266,1944
Q617597,Великобритания,87,136.60405405405405405405,1967
IHI Corporation,Япония,86,232.18108108108108108108,2012
Q116689843,США,86,82.00204767441860465116,2018
Q2578500,Великобритания,85,169.24,1985
Q5305967,США,85,0,1945
Q1676408,Великобритания,84,104.58125,1965
Q2298785,Нидерланды,84,140.55666666666666666667,2003
Q106351770,Китай,84,194.8155125,2020
Q1289733,Великобритания,83,79.15103448275862068966,1912
Permanente Metals,США,83,140.37333333333333333333,1953
Ольборгская судоверфь,Дания,82,106.35753424657534246575,1996
Q827085,Германия,82,107.93381578947368421053,2015
Херсонский судостроительный завод,Украина,82,157.12985714285714285714,2013
Q1826035,Германия,81,131.82743243243243243243,2011
Scotts Shipbuilding and Engineering Company,Великобритания,80,126.6715,1976
Q3200761,Норвегия,80,51.74959459459459459459,2018
Q11535794,Япония,80,89.84810126582278481013,2013
National Steel and Shipbuilding Company,США,79,215.75177777777777777778,2021
Q1973983,Нидерланды,79,193.41887323943661971831,1982
Военно-морская верфь Филадельфии,США,79,141.66964,2004
American Ship Building Company,США,78,261.31882352941176470588,1986
Hyundai Vinashin Shipyard,Вьетнам,78,192.67791666666666666667,2022
Elbewerft Boizenburg,ГДР,76,89.13507936507936507937,2003
Q2594517,Нидерланды,76,117.8577027027027027027,2011
Q12002778,Норвегия,76,90.15714285714285714286,1930
Sun Shipbuilding & Drydock Co.,США,74,192.305,1991
Q24887178,Япония,74,273.74140845070422535211,2014
Q261421,Германия,73,134.62142857142857142857,2013
Q56231733,Япония,73,94.16239436619718309859,2011
Q113462651,Япония,73,98.19054794520547945205,2015
Q11466212,Япония,73,76.67123287671232876712,2013
Gio. Ansaldo & C.,Италия,72,157.33972972972972972973,1965
Q2666279,Германия,72,97.61913043478260869565,2018
Q1790613,,72,84.3630303030303030303,2021
Q1369698,Португалия,72,111.07162318840579710145,2009
Q18549846,Румыния,72,102.34171830985915492958,2020
Q55947781,Норвегия,72,87.61115277777777777778,2021
Q4976260,США,72,0,1942
Q56161333,Нидерланды,71,77.82802816901408450704,2017
Q17190616,Япония,71,176.27435483870967741935,2020
Q1720581,Нидерланды,70,93.26536231884057971014,2024
Q52288275,Норвегия,69,88.94984615384615384615,2019
Q7054594,США,69,139.9,1945
Q4861094,Нидерланды,68,86.57712121212121212121,2019
Q5871699,Япония,67,164.24733333333333333333,1999
Q5251665,США,67,154.66666666666666666667,1970
Bethlehem Fairfield Shipyard,,67,144.74235294117647058824,1973
Волгоградский судостроительный завод,Россия,67,108.248515625,2018
Q5260949,Великобритания,66,53.10857142857142857143,1869
Charleston Naval Shipyard,США,66,138.71666666666666666667,1944
Q20710586,США,66,215.305,2022
Q316438,Германия,65,168.3944,1969
Q316438,Нацистская Германия,65,168.3944,1969
Q316438,Веймарская республика,65,168.3944,1969
Q316438,Германская империя,65,168.3944,1969
Q316438,Германский рейх,65,168.3944,1969
Barclay Curle,Великобритания,65,178.86785714285714285714,1966
Q3655748,Италия,65,162.25266666666666666667,2015
Q1126024,Польша,65,168.12954098360655737705,2009
Ferguson Shipbuilders,Великобритания,65,83.93557692307692307692,2016
Incat,Австралия,64,88.76370967741935483871,2021
ИХЦ,Нидерланды,64,120.08819672131147540984,2016
Судостроительная корпорация Сиэтл-Такома,США,64,134.3,1950
Q5020962,США,64,151.46958333333333333333,1945
Q1267285,Германия,63,59.05576271186440677966,2001
Q2813947,Япония,63,145.09368421052631578947,2000
Q9266563,Польша,63,85.76443333333333333333,2025
Q10727553,Швеция,63,138.78723404255319148936,2000
Q47109032,Норвегия,63,94.55457627118644067797,2023
Q11632310,Япония,63,86.80031746031746031746,2015
Q1158347,Нидерланды,62,134.70838709677419354839,2012
Q1453164,Дания,62,119.51035087719298245614,1999
Q6883239,Япония,62,196.28603773584905660377,2017
Q1604557,Дания,61,122.0174576271186440678,1983
Q1631703,Германия,61,151.30964912280701754386,1980
Q1631703,Германский рейх,61,151.30964912280701754386,1980
Q11989662,Норвегия,61,67.07490196078431372549,2002
Q2210573,ГДР,61,84.55465517241379310345,1993
Q1746543,Великобритания,61,170.07421052631578947368,1970
Q5147321,Канада,61,185.97485714285714285714,2015
Q11890180,Финляндия,61,96.86140350877192982456,1991
Q17749542,Норвегия,61,88.17283333333333333333,2018
Naval Group,Франция,60,147.53648648648648648649,2016
Q2956389,Канада,60,157.84769230769230769231,1986
Q7885783,США,60,4410,1918
Q28721321,Китай,60,174.32696491228070175439,2022
Майдзуру,Япония,60,118.85,
Q3505627,Великобритания,59,86.81714285714285714286,1932
Q2593294,Великобритания,59,51.45,1868
Q301348,Дания,59,83.63036363636363636364,2008
Meyer Turku,Финляндия,58,161.91707272727272727273,2026
Q3655767,Италия,58,117.33206896551724137931,1981
Q52503328,Норвегия,58,69.41392857142857142857,2018
Q7988166,США,57,138.8025,1944
Q11294418,Япония,57,125.50814814814814814815,2011
Stabilimento Tecnico Triestino,,56,160.24210526315789473684,1920
Norfolk Naval Shipyard,США,56,535.147,1995
Выборгский судостроительный завод,Россия,56,109.96442307692307692308,2020
Q52287703,Норвегия,56,92.74740740740740740741,2021
Q3655776,Италия,56,163.463125,2024
Q104520543,Нидерланды,56,38.54,2019
Q6103890,,56,134.6,1945
Q30931022,Китай,56,172.27386792452830188679,2023
Q18343360,Норвегия,55,137.66307692307692307692,2010
Военно-морской арсенал в Йокосуке,Японская империя,55,205.5499375,1944
Q55402501,Румыния,55,100.17796296296296296296,2020
Q16575033,Испания,54,137.06851063829787234043,2022
Арсенал в Картахене,Испания,54,107.286,1936
Q12740726,Румыния,54,77.95,2021
Q318326,Германия,53,42.07521739130434782609,2025
Q318326,Германский рейх,53,42.07521739130434782609,2025
Damen Shipyards Group,Нидерланды,53,97.83465116279069767442,2023
Q2295400,Великобритания,53,97.85454545454545454545,1982
Q111972124,Португалия,53,54.19361702127659574468,2014
Q1025914,Великобритания,53,123.8225,1920
Q1439358,Норвегия,52,120.73923076923076923077,2015
Q114403355,Республика Корея,51,266.12733333333333333333,2023
Q20065184,Великобритания,50,159.37777777777777777778,1931
Q5541573,США,50,0,1901
Q84609765,Нидерланды,50,53.384,2012
Q621541,Великобритания,49,76.85638297872340425532,2003
Mare Island NSY,США,49,160.968125,1930
Дешимаг,Нацистская Германия,49,127.90469696969696969697,1939
Дешимаг,Веймарская республика,49,127.90469696969696969697,1939
Q6351825,Норвегия,49,134.08862068965517241379,1991
Q845144,Норвегия,48,81.57409090909090909091,1982
Q22266452,Испания,48,40.99021276595744680851,2016
Q1032384,Канада,48,243.9225,1966
Q108941303,Испания,48,60.70347826086956521739,2012
Q248036,Великобритания,48,73.41,2000
Q11162731,Норвегия,48,180.58394736842105263158,1979
Q56605049,Китай,48,142.08180851063829787234,2019
Q889362,Германия,48,49.99206521739130434783,2003
Q623503,Великобритания,47,165.47058823529411764706,1930
Виккерс,Великобритания,47,173.58533333333333333333,2003
Oregon Shipbuilding Corporation,США,47,200.74555555555555555556,1964
Q1747787,Германия,47,114.81720930232558139535,1986
Q1747787,Германский рейх,47,114.81720930232558139535,1986
Q56249339,Нидерланды,47,90.61244444444444444444,2002
Q17773943,Норвегия,47,145.90028571428571428571,1987
Янтарь (судостроительный завод),Россия,47,109.9456,2018
Q50136501,Норвегия,47,74.55739130434782608696,2022
Q14329180,Германия,47,40.31409090909090909091,2020
STX Finland,Финляндия,46,165.14471739130434782609,2015
Q3817603,Финляндия,46,233.09782608695652173913,2004
Q52276032,Норвегия,46,74.66976744186046511628,2011
Q11394144,Япония,46,134.49409090909090909091,2025
Lürssen Werft,Германия,45,96.90540540540540540541,2023
Q1297442,Норвегия,45,96.81459459459459459459,2015
Q763386,Франция,44,122.05145454545454545455,1973
Q1606052,Дания,44,64.82114285714285714286,1996
Q5166879,Великобритания,44,59.4,1947
Q6104202,Великобритания,44,135.54714285714285714286,1964
Q14552001,Германия,43,89.94348837209302325581,2016
Q17772480,Норвегия,43,81.41697674418604651163,2017
Q278500,Великобритания,43,66.98888888888888888889,1953
Q1063973,Великобритания,43,152.30666666666666666667,1959
William Gray & Company,Великобритания,43,135.14333333333333333333,1948
Q52280075,Норвегия,43,72.73205128205128205128,2009
Q1250754,Германия,43,57.348,2008
Q54986759,Испания,43,55.50325581395348837209,2022
Q56121072,Китай,43,123.03525,2024
Q84419790,Китай,43,271.08837209302325581395,2015
Арсенал флота в Сасэбо,Япония,42,149.26307692307692307692,1927
Q6379823,Япония,42,232.536,2007
Q52279283,Дания,42,72.83333333333333333333,1997
Q17083313,Турция,42,97.09380952380952380952,2023
Q11503599,Япония,41,68.18653658536585365854,2017
Q11962478,Норвегия,41,31.02602564102564102564,2021
Q10562558,Швеция,40,128.4905,1968
Q2560213,Германия,40,55.33875,1988
Q52278903,Норвегия,39,85.61153846153846153846,2022
Valmet,Финляндия,39,141.33,1986
Керченский судостроительный завод,Россия,39,130.42689655172413793103,2000
Керченский судостроительный завод,Украина,39,130.42689655172413793103,2000
Remontowa Shipbuilding,Польша,39,88.72805555555555555556,2020
Q7963812,США,39,0,1944
Austal USA,США,39,95.26846153846153846154,2018
Q52286492,Норвегия,39,78.15,2001
Q113698960,Индия,39,82.64432432432432432432,2023
Navantia,Испания,38,160.6265,2018
Военно-морской арсенал Куре,Япония,38,218.08,1944
Vickers Limited,Великобритания,38,137.36,1926
Q2868912,Франция,38,127.13432432432432432432,2002
Невский завод,Россия,38,220,1908
Q2463762,Испания,38,119.925,1996
Q4898067,США,38,166.125,1998
Q2742109,Испания,37,130.09714285714285714286,1969
Q1552142,Германия,37,72.41235294117647058824,1940
Q16842471,Великобритания,37,91.146875,1983
Q3437441,Швеция,37,209.55354838709677419355,1985
Q6478434,США,37,0,1945
Q6908150,США,37,164.95,1947
Q17145634,США,37,0,
Q1026563,Великобритания,36,109.97588235294117647059,1973
Joh. C. Tecklenborg,Германия,36,100.26454545454545454545,1927
Cantieri Riuniti dell'Adriatico,Италия,36,1358.60074074074074074074,1966
Кузница на Рыбальском,Украина,36,71.17558928571428571429,2009
Q1397597,Германия,36,40.53441176470588235294,2025
Q15637769,Польша,36,93.61941666666666666667,2022
Q21192982,Италия,36,147.4,2013
Q2279275,Нидерланды,36,104.32857142857142857143,2020
Puget Sound Naval Shipyard,США,36,182.05,1926
Q5095516,Нидерланды,36,100,1945
Q55071917,Нидерланды,36,55.40685714285714285714,2017
Q27957424,Великобритания,35,57.91,1903
Q4680167,Румыния,35,190.45823529411764705882,2020
Q26710910,Нидерланды,35,51.75171428571428571429,2014
Q1612886,Германия,35,80.9228125,1993
Warnowwerft Warnemünde,ГДР,34,151.24733333333333333333,1999
Q28569825,Великобритания,34,120.0775,1889
Q2043455,Германия,34,128.9430303030303030303,2014
Q6764149,Канада,34,160.47333333333333333333,1974
Hollming,Финляндия,34,90.1621875,1992
Q5522292,Индия,34,80.12,2008
Q108744148,Нидерланды,34,98.29323529411764705882,2002
Lockheed Shipbuilding and Construction Company,США,34,127.43363636363636363636,1974
Q805723,Литва,34,76.84740740740740740741,2025
Q2956394,Франция,33,128.56592592592592592593,1984
Штулкен,Германия,33,83.71321428571428571429,1964
Штулкен,Германский рейх,33,83.71321428571428571429,1964
Q891830,Индия,33,54.86,1848
Q7106970,Швеция,33,101.81851851851851851852,1995
Karstensens Skibsværft,Дания,33,64.47090909090909090909,2019
Ateliers et Chantiers de la Loire,Франция,33,180.19714285714285714286,1950
Q16536357,Италия,33,0,1930
Q2814406,Япония,33,125.25666666666666666667,1967
Q10448832,Китай,33,32.81125,2018
Cantieri Aeronautici e Navali Triestini,Королевство Италия,33,224.12333333333333333333,2003
Q22101730,Франция,32,171.93642857142857142857,1954
Q3655760,Италия,32,135.87,2003
Q7325319,Великобритания,32,41.09580645161290322581,1993
Q14683274,США,32,161.16357142857142857143,1966
Q20653412,Швеция,32,40.5828,1984
Q30687989,США,32,100.62721333333333333333,2025
Vickers Shipbuilding and Engineering,Великобритания,31,178.75076923076923076923,2002
Q637673,Нидерланды,31,144.19,1967
Тулон,Франция,31,31.57,1836
Q11874481,Финляндия,31,69.40428571428571428571,1990
Q8350285,Испания,31,187.96766666666666666667,2018
Q122182243,Россия,31,25.15222222222222222222,1991
Q17537921,Франция,31,72.03,1848
Q531348,Германия,30,77.64766666666666666667,1892
Q652491,Германия,30,109.36857142857142857143,1990
Q277630,Великобритания,30,132.186,1987
Q56432811,Испания,30,55.12006896551724137931,2026
Q20112666,Норвегия,30,29.80965517241379310345,2020
АО «Окская Судоверфь»,,30,128.736,2019
Q12358532,Финляндия,29,212.28172413793103448276,2008
Q10577472,Швеция,29,40.13346153846153846154,2008
Q29093553,США,29,91.06243793103448275862,2018
Брест,Франция,29,93.48428571428571428571,1877
Q5000378,Канада,29,110.99714285714285714286,1991
Q25425169,Норвегия,29,67.81642857142857142857,2000
Crichton-Vulcan,Финляндия,29,113.57681818181818181818,1976
Q7535498,США,29,0,1919
Q22120466,Япония,29,124.54592592592592592593,2025
Q104520574,Нидерланды,29,97.28896551724137931034,2017
Q11990799,Дания,28,145.78740740740740740741,1986
Q946123,Нидерланды,28,160.6085,1982
Q5599444,США,28,165.46857142857142857143,1959
Q2234114,Германия,28,108.09592592592592592593,1992
Q17101117,Великобритания,28,136.08636363636363636364,1989
Marinette Marine,США,28,90.832,2004
Q25511937,Норвегия,28,46.77851851851851851852,2020
Q56012145,Италия,28,45.02785714285714285714,2015
American Bridge Company,США,28,214,
Q2956390,Индия,27,114.85,2000
